name,mass (g),year,reclat,reclong,color
Grove Mountains 022369,0.65,2003,-72.779167,75.306111,1
Grove Mountains 022442,0.65,2003,-72.777780,75.305560,1
Grove Mountains 022675,0.65,2003,-72.781390,75.279440,1
Grove Mountains 022834,0.65,2003,-72.773610,75.339170,1
Grove Mountains 022977,0.65,2003,-72.773890,75.320560,1
Grove Mountains 023122,0.65,2003,-72.774167,75.317500,1
Grove Mountains 023222,0.65,2003,-72.773330,75.338610,1
Grove Mountains 023224,0.65,2003,-72.773333,75.338611,1
Grove Mountains 024244,0.65,2003,-72.982500,75.250000,1
Grove Mountains 052463,0.66,2006,-72.784170,75.308610,1
Grove Mountains 021698,0.66,2003,-72.773333,75.360000,1
Grove Mountains 021769,0.66,2003,-72.784400,75.309400,1
Grove Mountains 022198,0.66,2003,-72.781389,75.305556,1
Grove Mountains 022361,0.66,2003,-72.777778,75.320556,1
